"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON","1/23/2023 5:51 PM","6641003","eBay Motors Fixed Price US","15MIS_C-SSL-0036","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:51 PM","6641127","Walmart Marketplace","15MIS_C-CCH-0146_MPK4","1","","MISHONC - Chesterfield","Walmart","Express"
"BW - MISHON","1/23/2023 5:51 PM","6641127","Walmart Marketplace","15MIS_C-CCH-0082_MPK4","1","","MISHONC - Chesterfield","Walmart","Express"
"BW - MISHON","1/23/2023 5:51 PM","6641127","Walmart Marketplace","15MIS_C-CCH-0013_MPK4","1","","MISHONM - McDonough","Walmart","Express"
"BW - MISHON","1/23/2023 5:52 PM","6641025","Amazon Seller Central - US","15MIS_C-DCH-0029","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:53 PM","6641085","Amazon Seller Central - US","15MIS_C-BLD-0148_MPK3","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:54 PM","6641084","Amazon Seller Central - US","15MIS_K-TRE-0009","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 5:55 PM","6641132","Amazon Seller Central - CA","15MIS_K-PAD-0458","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 5:55 PM","6641087","Amazon Seller Central - US","15MIS_C-CCH-0044_MPK3","1","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:55 PM","6641051","eBay Motors Fixed Price US","15MIS_K-PAD-0393","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:55 PM","6641086","Amazon Seller Central - US","15MIS_C-SSL-0046","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
